Bevölkerung*) insgesamt im Bundesländervergleich 2015 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.766;7.751;72,0;3.015;28,0;1.968;18,3
Bayern;12.735;10.018;78,7;2.718;21,3;1.898;14,9
Berlin;3.486;2.519;72,3;967;27,7;645;18,5
Brandenburg;2.464;2.318;94,1;145;5,9;108;4,4
Bremen;663;468;70,6;195;29,4;133;20,1
Hamburg;1.773;1.263;71,2;510;28,8;352;19,9
Hessen;6.115;4.380;71,6;1.735;28,4;1.143;18,7
Mecklenburg-Vorpommern;1.601;1.522;95,1;78;4,9;64;4,0
Niedersachsen;7.850;6.450;82,2;1.400;17,8;966;12,3
Nordrhein-Westfalen;17.666;13.146;74,4;4.519;25,6;2.892;16,4
Rheinland-Pfalz;4.019;3.179;79,1;840;20,9;564;14,0
Saarland;988;805;81,5;182;18,4;122;12,3
Sachsen;4.057;3.836;94,6;221;5,4;171;4,2
Sachsen-Anhalt;2.231;2.119;95,0;112;5,0;87;3,9
Schleswig-Holstein;2.840;2.466;86,8;374;13,2;255;9,0
Thüringen;2.153;2.047;95,1;106;4,9;85;3,9
Deutschland;81.404;64.286;79,0;17.118;21,0;11.453;14,1
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2015 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.315;3.795;71,4;1.521;28,6;976;18,4
Bayern;6.278;4.902;78,1;1.376;21,9;940;15,0
Berlin;1.706;1.216;71,3;489;28,7;319;18,7
Brandenburg;1.214;1.139;93,8;75;6,2;54;4,4
Bremen;325;226;69,5;100;30,8;66;20,3
Hamburg;862;596;69,1;266;30,9;180;20,9
Hessen;3.005;2.137;71,1;869;28,9;561;18,7
Mecklenburg-Vorpommern;789;746;94,6;43;5,4;34;4,3
Niedersachsen;3.861;3.149;81,6;712;18,4;482;12,5
Nordrhein-Westfalen;8.626;6.342;73,5;2.285;26,5;1.427;16,5
Rheinland-Pfalz;1.976;1.555;78,7;421;21,3;276;14,0
Saarland;482;389;80,7;93;19,3;61;12,7
Sachsen;1.990;1.874;94,2;116;5,8;92;4,6
Sachsen-Anhalt;1.094;1.035;94,6;59;5,4;48;4,4
Schleswig-Holstein;1.387;1.206;87,0;181;13,0;122;8,8
Thüringen;1.061;1.006;94,8;56;5,3;44;4,1
Deutschland;39.972;31.311;78,3;8.660;21,7;5.681;14,2
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2015 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.451;3.956;72,6;1.494;27,4;992;18,2
Bayern;6.457;5.116;79,2;1.342;20,8;958;14,8
Berlin;1.780;1.302;73,1;478;26,9;326;18,3
Brandenburg;1.250;1.180;94,4;70;5,6;55;4,4
Bremen;337;242;71,8;96;28,5;67;19,9
Hamburg;910;667;73,3;244;26,8;172;18,9
Hessen;3.110;2.243;72,1;867;27,9;582;18,7
Mecklenburg-Vorpommern;812;776;95,6;35;4,3;30;3,7
Niedersachsen;3.989;3.301;82,8;688;17,2;484;12,1
Nordrhein-Westfalen;9.039;6.805;75,3;2.235;24,7;1.465;16,2
Rheinland-Pfalz;2.043;1.624;79,5;419;20,5;288;14,1
Saarland;505;416;82,4;89;17,6;61;12,1
Sachsen;2.067;1.962;94,9;105;5,1;79;3,8
Sachsen-Anhalt;1.136;1.084;95,4;53;4,7;39;3,4
Schleswig-Holstein;1.453;1.260;86,7;193;13,3;134;9,2
Thüringen;1.091;1.041;95,4;50;4,6;41;3,8
Deutschland;41.433;32.975;79,6;8.458;20,4;5.772;13,9
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
