Bevölkerung*) insgesamt im Bundesländervergleich 2019 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.963;7.261;66,2;3.702;33,8;2.339;21,3
Bayern;12.907;9.567;74,1;3.340;25,9;2.217;17,2
Berlin;3.604;2.399;66,6;1.206;33,5;799;22,2
Brandenburg;2.471;2.259;91,4;212;8,6;152;6,2
Bremen;676;430;63,6;247;36,5;165;24,4
Hamburg;1.827;1.208;66,1;619;33,9;410;22,4
Hessen;6.201;4.066;65,6;2.135;34,4;1.353;21,8
Mecklenburg-Vorpommern;1.580;1.452;91,9;128;8,1;92;5,8
Niedersachsen;7.845;6.095;77,7;1.750;22,3;1.141;14,5
Nordrhein-Westfalen;17.665;12.216;69,2;5.449;30,8;3.366;19,1
Rheinland-Pfalz;4.017;2.946;73,3;1.071;26,7;685;17,1
Saarland;972;754;77,6;218;22,4;145;14,9
Sachsen;4.007;3.668;91,5;339;8,5;244;6,1
Sachsen-Anhalt;2.159;1.986;92,0;173;8,0;129;6,0
Schleswig-Holstein;2.851;2.352;82,5;499;17,5;325;11,4
Thüringen;2.102;1.939;92,2;163;7,8;123;5,9
Deutschland;81.848;60.597;74,0;21.252;26,0;13.685;16,7
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2019 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.460;3.567;65,3;1.893;34,7;1.180;21,6
Bayern;6.410;4.711;73,5;1.700;26,5;1.115;17,4
Berlin;1.771;1.163;65,7;607;34,3;402;22,7
Brandenburg;1.220;1.109;90,9;111;9,1;79;6,5
Bremen;337;208;61,7;129;38,3;87;25,8
Hamburg;897;577;64,3;321;35,8;211;23,5
Hessen;3.067;1.983;64,7;1.083;35,3;679;22,1
Mecklenburg-Vorpommern;781;712;91,2;69;8,8;48;6,1
Niedersachsen;3.891;2.990;76,8;901;23,2;584;15,0
Nordrhein-Westfalen;8.688;5.920;68,1;2.768;31,9;1.693;19,5
Rheinland-Pfalz;1.992;1.447;72,6;545;27,4;347;17,4
Saarland;481;369;76,7;112;23,3;72;15,0
Sachsen;1.979;1.798;90,9;181;9,1;131;6,6
Sachsen-Anhalt;1.065;972;91,3;93;8,7;70;6,6
Schleswig-Holstein;1.399;1.144;81,8;255;18,2;166;11,9
Thüringen;1.044;955;91,5;90;8,6;68;6,5
Deutschland;40.482;29.624;73,2;10.859;26,8;6.930;17,1
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2019 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.503;3.694;67,1;1.809;32,9;1.159;21,1
Bayern;6.497;4.857;74,8;1.640;25,2;1.101;16,9
Berlin;1.834;1.235;67,3;599;32,7;397;21,6
Brandenburg;1.251;1.150;91,9;101;8,1;73;5,8
Bremen;339;222;65,5;117;34,5;78;23,0
Hamburg;930;632;68,0;298;32,0;199;21,4
Hessen;3.134;2.082;66,4;1.052;33,6;674;21,5
Mecklenburg-Vorpommern;799;740;92,6;60;7,5;44;5,5
Niedersachsen;3.953;3.104;78,5;849;21,5;557;14,1
Nordrhein-Westfalen;8.977;6.296;70,1;2.681;29,9;1.673;18,6
Rheinland-Pfalz;2.025;1.499;74,0;526;26,0;339;16,7
Saarland;491;385;78,4;106;21,6;73;14,9
Sachsen;2.028;1.870;92,2;158;7,8;113;5,6
Sachsen-Anhalt;1.095;1.014;92,6;81;7,4;59;5,4
Schleswig-Holstein;1.452;1.208;83,2;244;16,8;159;11,0
Thüringen;1.057;984;93,1;73;6,9;56;5,3
Deutschland;41.366;30.973;74,9;10.393;25,1;6.754;16,3
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
