Bevölkerung*) insgesamt im Bundesländervergleich 2018 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.897;7.259;66,6;3.638;33,4;2.277;20,9
Bayern;12.841;9.559;74,4;3.282;25,6;2.180;17,0
Berlin;3.589;2.455;68,4;1.135;31,6;761;21,2
Brandenburg;2.468;2.260;91,6;208;8,4;149;6,0
Bremen;673;437;64,9;236;35,1;158;23,5
Hamburg;1.825;1.218;66,7;607;33,3;409;22,4
Hessen;6.169;4.094;66,4;2.075;33,6;1.326;21,5
Mecklenburg-Vorpommern;1.577;1.453;92,1;124;7,9;91;5,8
Niedersachsen;7.824;6.097;77,9;1.726;22,1;1.146;14,6
Nordrhein-Westfalen;17.646;12.284;69,6;5.362;30,4;3.330;18,9
Rheinland-Pfalz;4.010;2.966;74,0;1.045;26,1;670;16,7
Saarland;977;757;77,5;220;22,5;145;14,8
Sachsen;4.002;3.675;91,8;327;8,2;239;6,0
Sachsen-Anhalt;2.163;1.996;92,3;168;7,8;127;5,9
Schleswig-Holstein;2.841;2.349;82,7;492;17,3;332;11,7
Thüringen;2.109;1.955;92,7;155;7,3;117;5,5
Deutschland;81.613;60.814;74,5;20.799;25,5;13.457;16,5
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2018 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.434;3.570;65,7;1.864;34,3;1.147;21,1
Bayern;6.379;4.706;73,8;1.673;26,2;1.097;17,2
Berlin;1.769;1.191;67,3;578;32,7;385;21,8
Brandenburg;1.220;1.114;91,3;107;8,8;78;6,4
Bremen;335;211;63,0;125;37,3;84;25,1
Hamburg;896;579;64,6;317;35,4;212;23,7
Hessen;3.057;1.997;65,3;1.059;34,6;670;21,9
Mecklenburg-Vorpommern;780;712;91,3;68;8,7;50;6,4
Niedersachsen;3.888;2.998;77,1;890;22,9;587;15,1
Nordrhein-Westfalen;8.690;5.953;68,5;2.736;31,5;1.678;19,3
Rheinland-Pfalz;1.987;1.451;73,0;535;26,9;338;17,0
Saarland;483;369;76,4;114;23,6;73;15,1
Sachsen;1.977;1.799;91,0;178;9,0;131;6,6
Sachsen-Anhalt;1.068;977;91,5;91;8,5;71;6,6
Schleswig-Holstein;1.397;1.141;81,7;257;18,4;170;12,2
Thüringen;1.046;963;92,1;83;7,9;62;5,9
Deutschland;40.406;29.731;73,6;10.675;26,4;6.833;16,9
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2018 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.463;3.689;67,5;1.774;32,5;1.129;20,7
Bayern;6.462;4.854;75,1;1.609;24,9;1.083;16,8
Berlin;1.820;1.264;69,5;556;30,5;376;20,7
Brandenburg;1.248;1.146;91,8;102;8,2;71;5,7
Bremen;338;227;67,2;111;32,8;74;21,9
Hamburg;929;638;68,7;290;31,2;196;21,1
Hessen;3.113;2.097;67,4;1.016;32,6;656;21,1
Mecklenburg-Vorpommern;797;741;93,0;56;7,0;42;5,3
Niedersachsen;3.936;3.100;78,8;836;21,2;559;14,2
Nordrhein-Westfalen;8.956;6.331;70,7;2.625;29,3;1.652;18,4
Rheinland-Pfalz;2.024;1.514;74,8;509;25,1;332;16,4
Saarland;493;387;78,5;106;21,5;72;14,6
Sachsen;2.025;1.876;92,6;150;7,4;108;5,3
Sachsen-Anhalt;1.095;1.019;93,1;76;6,9;57;5,2
Schleswig-Holstein;1.443;1.208;83,7;235;16,3;162;11,2
Thüringen;1.064;992;93,2;72;6,8;55;5,2
Deutschland;41.207;31.083;75,4;10.124;24,6;6.624;16,1
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
