Gewerbeanzeigen: Bundesländer, Jahre;;
Gewerbeanzeigenstatistik;;
Bundesländer;Gewerbeanmeldungen;Gewerbeabmeldungen
;Anzahl;Anzahl
Mecklenburg-Vorpommern;10483;10998
Niedersachsen;59793;56139
Nordrhein-Westfalen;152589;145163
Rheinland-Pfalz;34985;34573
Saarland;6925;6783
Sachsen;29652;30604
Sachsen-Anhalt;12031;13729
Schleswig-Holstein;26383;25601
Thüringen;12547;15254
2016;;
Baden-Württemberg;88461;84054
Bayern;115825;103481
Berlin;42443;34819
Brandenburg;17080;17661
Bremen;4194;3935
Hamburg;19798;16329
Hessen;61890;61249
Mecklenburg-Vorpommern;10152;11448
Niedersachsen;57247;50624
Nordrhein-Westfalen;150862;145419
Rheinland-Pfalz;33124;33461
Saarland;6721;6577
Sachsen;28177;29771
Sachsen-Anhalt;11562;13307
Schleswig-Holstein;25683;25189
Thüringen;12154;14415
2017;;
Baden-Württemberg;86322;80799
Bayern;115187;103773
Berlin;44839;35801
Brandenburg;17049;17431
Bremen;4318;3726
Hamburg;20105;16407
Hessen;60253;59155
Mecklenburg-Vorpommern;9700;10756
Niedersachsen;57968;50804
Nordrhein-Westfalen;147911;140763
Rheinland-Pfalz;31658;32139
Saarland;6531;6408
Sachsen;27095;28845
Sachsen-Anhalt;11268;12704
Schleswig-Holstein;25561;24417
Thüringen;11212;13587
2018;;
Baden-Württemberg;86040;81725
Bayern;114263;102795
Berlin;43923;38156
Brandenburg;17251;17314
Bremen;6816;4940
Hamburg;19879;15449
Hessen;58880;58414
Mecklenburg-Vorpommern;9540;10801
Niedersachsen;57609;50969
Nordrhein-Westfalen;142390;138282
Rheinland-Pfalz;31966;32047
Saarland;6733;6513
Sachsen;26741;28663
Sachsen-Anhalt;10759;13201
Schleswig-Holstein;24752;23545
Thüringen;11182;13345
2019;;
Baden-Württemberg;86785;76242
Bayern;113606;100333
Berlin;41756;35713
Brandenburg;17446;16879
Bremen;5740;4686
Hamburg;20454;16441
Hessen;60179;58132
Mecklenburg-Vorpommern;9747;9923
Niedersachsen;59600;50376
Nordrhein-Westfalen;144036;133349
Rheinland-Pfalz;31373;29950
Saarland;6931;6531
Sachsen;26736;27733
Sachsen-Anhalt;10924;12054
Schleswig-Holstein;26015;23193
Thüringen;11281;12713
2020;;
Baden-Württemberg;88865;68923
Bayern;118517;94351
Berlin;40982;29891
Brandenburg;17069;15675
Bremen;4996;3526
Hamburg;18040;12589
Hessen;56895;50261
Mecklenburg-Vorpommern;9311;8965
Niedersachsen;59853;45568
Nordrhein-Westfalen;136892;111993
Rheinland-Pfalz;31325;27178
Saarland;6932;5634
Sachsen;25728;24787
Sachsen-Anhalt;9845;10491
Schleswig-Holstein;25132;21196
Thüringen;10481;10710
2021;;
Baden-Württemberg;96239;68417
Bayern;123787;91745
Berlin;42725;30594
Brandenburg;18243;15815
Bremen;5516;3784
Hamburg;19504;12634
Hessen;61307;50621
Mecklenburg-Vorpommern;10052;9171
Niedersachsen;65462;45449
Nordrhein-Westfalen;145975;111509
Rheinland-Pfalz;33596;27664
Saarland;7566;6064
Sachsen;26396;23390
Sachsen-Anhalt;10826;10267
Schleswig-Holstein;26724;20853
Thüringen;11031;10816
2022;;
Baden-Württemberg;93279;73794
Bayern;113311;92948
Berlin;40391;31541
Brandenburg;18100;16132
Bremen;6254;4363
Hamburg;17935;13748
Hessen;59491;53197
Mecklenburg-Vorpommern;9832;8991
Niedersachsen;63132;47708
Nordrhein-Westfalen;139317;119469
Rheinland-Pfalz;31493;27381
Saarland;7373;6415
Sachsen;26163;24164
Sachsen-Anhalt;10862;10512
Schleswig-Holstein;25716;21711
Thüringen;10814;11056
______________;;
Gewerbeanzeigen: ohne Automatenaufsteller und Reisegewerbe;;
© Statistisches Bundesamt (Destatis), 2023 | Stand: 22.12.2023 / 13:19:33;;
