Bevölkerung*) insgesamt im Bundesländervergleich 2017 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;10.902;7.350;67,4;3.552;32,6;2.213;20,3
Bayern;12.835;9.618;74,9;3.217;25,1;2.126;16,6
Berlin;3.559;2.461;69,1;1.098;30,9;709;19,9
Brandenburg;2.459;2.275;92,5;184;7,5;129;5,2
Bremen;671;447;66,6;224;33,4;150;22,4
Hamburg;1.808;1.220;67,5;587;32,5;383;21,2
Hessen;6.153;4.152;67,5;2.011;32,7;1.260;20,5
Mecklenburg-Vorpommern;1.582;1.464;92,5;118;7,5;87;5,5
Niedersachsen;7.854;6.121;77,9;1.733;22,1;1.148;14,6
Nordrhein-Westfalen;17.725;12.442;70,2;5.284;29,8;3.298;18,6
Rheinland-Pfalz;4.039;3.037;75,2;1.002;24,8;641;15,9
Saarland;984;772;78,5;213;21,6;137;13,9
Sachsen;4.019;3.702;92,1;316;7,9;225;5,6
Sachsen-Anhalt;2.194;2.037;92,8;158;7,2;118;5,4
Schleswig-Holstein;2.845;2.377;83,6;468;16,4;309;10,9
Thüringen;2.112;1.969;93,2;143;6,8;108;5,1
Deutschland;81.740;61.443;75,2;20.297;24,8;13.172;16,1
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) männlich im Bundesländervergleich 2017 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.443;3.614;66,4;1.829;33,6;1.120;20,6
Bayern;6.379;4.737;74,3;1.642;25,7;1.074;16,8
Berlin;1.753;1.203;68,6;550;31,4;352;20,1
Brandenburg;1.217;1.124;92,4;93;7,6;67;5,5
Bremen;334;216;64,7;118;35,3;78;23,4
Hamburg;886;582;65,7;304;34,3;196;22,1
Hessen;3.048;2.031;66,6;1.017;33,4;630;20,7
Mecklenburg-Vorpommern;784;721;92,0;63;8,0;48;6,1
Niedersachsen;3.911;3.007;76,9;903;23,1;597;15,3
Nordrhein-Westfalen;8.749;6.039;69,0;2.710;31,0;1.678;19,2
Rheinland-Pfalz;2.003;1.487;74,2;516;25,8;323;16,1
Saarland;487;374;76,8;113;23,2;72;14,8
Sachsen;1.995;1.824;91,4;171;8,6;125;6,3
Sachsen-Anhalt;1.083;996;92,0;87;8,0;66;6,1
Schleswig-Holstein;1.400;1.159;82,8;241;17,2;157;11,2
Thüringen;1.051;973;92,6;77;7,3;58;5,5
Deutschland;40.521;30.087;74,3;10.434;25,7;6.639;16,4
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 

Bevölkerung*) weiblich im Bundesländervergleich 2017 nach Migrationshintergrund
Bundesland;Insgesamt;Ohne Migrationshintergrund;;Mit Migrationshintergrund1)
;;;;zusammen;;mit eigener Migrationserfahrung2)
;1.000;;%;1.000;%;1.000;%
Baden-Württemberg;5.459;3.736;68,4;1.723;31,6;1.093;20,0
Bayern;6.456;4.881;75,6;1.575;24,4;1.053;16,3
Berlin;1.806;1.258;69,7;548;30,3;357;19,8
Brandenburg;1.241;1.151;92,7;91;7,3;62;5,0
Bremen;338;231;68,3;107;31,7;72;21,3
Hamburg;922;638;69,2;283;30,7;186;20,2
Hessen;3.105;2.121;68,3;984;31,7;630;20,3
Mecklenburg-Vorpommern;798;744;93,2;55;6,9;39;4,9
Niedersachsen;3.943;3.113;79,0;830;21,0;551;14,0
Nordrhein-Westfalen;8.977;6.403;71,3;2.574;28,7;1.620;18,0
Rheinland-Pfalz;2.036;1.550;76,1;486;23,9;318;15,6
Saarland;497;397;79,9;100;20,1;65;13,1
Sachsen;2.024;1.879;92,8;146;7,2;100;4,9
Sachsen-Anhalt;1.111;1.041;93,7;71;6,4;52;4,7
Schleswig-Holstein;1.445;1.218;84,3;227;15,7;153;10,6
Thüringen;1.061;995;93,8;66;6,2;51;4,8
Deutschland;41.219;31.356;76,1;9.863;23,9;6.404;15,5
 *)Am Hauptwohnsitz, ab 2017 nur noch Bevölkerung in Privathaushalten. 
1) Ab 2017 Migrationshintergrund im weiteren Sinn. 
2) Zuwanderer, einschl. Spätaussiedler. 
Datenquelle: Mikrozensus [MZ] Hochrechnung: Basis Zensus 
© Statistisches Landesamt Baden-Württemberg, 2020 
